,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
3532,Tuouski and Two Waters Trails to Duna Vista,MODERATE,11,"Routzhan Park
",4.9 miles,"1,184 feet",Loop,"dog friendly, camping, hiking, mountain biking, nature trips, walking, bird watching, views, wild flowers,",3.6
3533,"Tennessee Valley, Coastal, Coastal Fire, Coyote Ridge, Miwok Loop",MODERATE,7,"Golden Gate National Recreation Area
",6.1 miles,"1,036 feet",Loop,"hiking, mountain biking, nature trips, trail running, walking, bird watching, beach, views, wild flowers, wildlife, no dogs,",4.5
3534,El Dorado East Regional Park Perimeter Loop,EASY,13,"El Dorado East Regional Park
",2.1 miles,22 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching,",4.2
3535,Three Points to Mt Waterman,HARD,8,"San Gabriel Wilderness
",13.3 miles,"3,136 feet",Out & Back,"dog friendly, hiking, trail running, views, wildlife,",4.4
3536,Upper Sacramento Ditch Trail,MODERATE,17,"Redding, California
",15.8 miles,836 feet,Out & Back,"dog friendly, hiking, mountain biking, road biking, trail running, walking, river, views, wild flowers, wildlife,",4.3
3537,Mount Baldy from Phoenix Lake,MODERATE,13,"Mount Tamalpais Watershed
",4.2 miles,"1,043 feet",Out & Back,"hiking, mountain biking, nature trips, walking, bird watching, views, no dogs,",4.2
3538,"Belgium, San Pablo Ridge, Nimitz Way, Conlon and Wildcat Creek Loop",MODERATE,7,"Wildcat Canyon Regional Park
",9.1 miles,"2,093 feet",Loop,"dog friendly, hiking, nature trips, trail running, bird watching, forest, wildlife,",4.6
3539,Crystal Mine Trail,MODERATE,9,"Toiyabe National Forest
",1.2 miles,354 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, walking, forest, views, wild flowers, wildlife, rocky, snow, historic site,",3.7
3540,Tunnel View to Dewey Point,HARD,4,"Yosemite National Park
",9.3 miles,"3,500 feet",Out & Back,"hiking, nature trips, bird watching, views,",4.6
3541,Allison Mine Trail,HARD,12,"Angeles National Forest
",11.6 miles,"3,192 feet",Loop,"dogs on leash, hiking, nature trips, bird watching, forest, views, wild flowers, wildlife,",3.3
3542,Cove Trail to Quarry Overlook Trail,MODERATE,17,"Santa Rosa and San Jacinto Mountains National Monument
",2.8 miles,620 feet,Out & Back,"hiking, mountain biking, nature trips, trail running, walking, views, no shade,",3.9
3543,Dawn Falls and King Mountain Loop,MODERATE,7,"King Mountain Open Space Preserve
",5.5 miles,"1,345 feet",Loop,"dogs on leash, hiking, nature trips, walking, bird watching, views, wild flowers,",4.7
3544,Los Vaqueros Dam Trail,MODERATE,15,"Los Vaqueros Reservoir and Watershed
",2.5 miles,823 feet,Loop,"fishing, hiking, nature trips, walking, bird watching, lake, views, wildlife, no dogs,",3.9
3545,La Tuna Canyon Trail to Stough Canyon Nature Center,MODERATE,12,"La Tuna Canyon Park
",6.8 miles,"1,932 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, walking, views, wildlife,",3.8
3546,Vicente Flat Camp to Goat Camp via Vincente Flat and Stone Ridge Trails,MODERATE,10,"Big Sur, California
",16.6 miles,"5,935 feet",Out & Back,"backpacking, forest, views,",4.1
3547,Suisun Hill Trail,EASY,17,"Suisun City, California
",1.3 miles,193 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, walking, views,",3.5
3548,Kelly and Coit Lakes Trail,MODERATE,4,"Henry W. Coe State Park
",23.9 miles,"4,655 feet",Loop,"backpacking, hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, no dogs,",3.8
3549,Rainbow Basin Loop,MODERATE,12,"Barstow, California
",7.5 miles,"1,072 feet",Loop,"hiking, nature trips, bird watching, cave, views, wild flowers, rocky, scramble, off trail,",4.3
3550,Hobbs Wall Trail,MODERATE,4,"Del Norte Coast Redwood State Park
",3.4 miles,725 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, bridge out, no dogs,",4.4
3551,Elkhorn Slough and Moss Landing,EASY,15,"Moss Landing State Beach
",4.1 miles,65 feet,Out & Back,"kid friendly, hiking, paddle sports, bird watching, beach, no dogs,",4.3
3552,La Cumbre Vista Point,MODERATE,13,"Los Padres National Forest
",0.3 miles,72 feet,Loop,"dog friendly, wheelchair friendly, kid friendly, stroller friendly, hiking, walking, views,",4
3553,Deer Creek and Tunnel 4 Trail,EASY,16,"Del Mar Mesa Preserve
",3.7 miles,305 feet,Loop,"dogs on leash, hiking, mountain biking, trail running, walking, forest,",3.6
3554,Jack Main Canyon and Tilden Lake Trail,HARD,7,"Yosemite National Park
",41.1 miles,"8,054 feet",Loop,"backpacking, camping, hiking, nature trips, bird watching, forest, lake, river, views, waterfall, wild flowers, wildlife, no dogs,",4.6
3555,Bay Area Ridge Trail: Lomas Cantadas to Skyline,MODERATE,10,"Tilden Regional Park
",11.0 miles,"2,309 feet",Out & Back,"dogs on leash, hiking, horseback riding, nature trips, trail running, bird watching, forest, views, wildlife, rocky, scramble,",4
3556,Lower and Upper Lola Montez Lakes,MODERATE,9,"Tahoe National Forest
",8.5 miles,"1,476 feet",Out & Back,"hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife,",4
3557,Cal Barrel Road,MODERATE,12,"Prairie Creek Redwoods State Park
",3.6 miles,987 feet,Out & Back,"wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, road biking, scenic driving, trail running, walking, bird watching, forest, wild flowers, wildlife, no dogs,",4.5
3558,Ossagon Trail,MODERATE,15,"Prairie Creek Redwoods State Park
",3.5 miles,813 feet,Out & Back,"hiking, mountain biking, beach, forest, views, no dogs,",3.9
3559,Noble Canyon MTB Loop,MODERATE,11,"Cleveland National Forest
",17.7 miles,"2,851 feet",Loop,"mountain biking, forest, views, wild flowers,",4.5
3560,Hidden Palms To Horseshoe,MODERATE,18,"Coachella Valley Preserve
",3.3 miles,426 feet,Loop,"kid friendly, hiking, nature trips, walking, views, wild flowers, wildlife, rocky, no shade, no dogs,",4.3
3561,Crenshaw Boulevard and Peacock Flats,MODERATE,6,"Portuguese Bend Reserve
",4.1 miles,862 feet,Out & Back,"dogs on leash, kid friendly, hiking, trail running, views, wild flowers, wildlife,",4.8
3562,Cathedral Canyon Mountain Bike Ride,MODERATE,12,"Santa Rosa and San Jacinto Mountains National Monument
",10.7 miles,"2,388 feet",Loop,"mountain biking, nature trips, walking, views, wild flowers,",4.4
3563,"West Ridge, Lynx, Wood Canyon, Mathis Canyon",MODERATE,3,"Aliso And Wood Canyons Regional Park
",6.2 miles,964 feet,Loop,"hiking, nature trips, trail running, walking, bird watching, views, wild flowers, no dogs,",4.3
3564,Quail Loop Trail to Live Oak Nature Trail,EASY,21,"Junipero Serra County Park
",1.6 miles,291 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, views, no dogs,",3.8
3565,Ottoway Lakes Trail,MODERATE,3,"Yosemite National Park
",29.6 miles,"5,029 feet",Out & Back,"hiking, nature trips, walking, bird watching, forest, lake, views, wild flowers, wildlife, no dogs,",5
3566,Caballero Canyon and Reseda Loop,MODERATE,11,"Topanga State Park
",3.7 miles,803 feet,Loop,"hiking, nature trips, walking, bird watching, forest, views, wild flowers, no dogs,",4.2
3567,Ricardo Campground,EASY,5,"Red Rock Canyon State Park
",1.4 miles,78 feet,Loop,"dogs on leash, kid friendly, camping, hiking, walking,",4.2
3568,Mussel Rock Trail,EASY,19,"Daly City, California
",2.0 miles,252 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, forest, views, wildlife,",4
3569,Waterhouse Peak Ski Tour,MODERATE,8,"Lake Tahoe Basin Management Unit
",3.7 miles,"1,840 feet",Loop,"dog friendly, kid friendly, hiking, skiing, snowshoeing, snow,",4.4
3570,South Fork American River and West Ravine Trail,HARD,8,"Cronan Ranch Regional Trails Park
",17.5 miles,"2,798 feet",Out & Back,"dog friendly, backpacking, hiking, mountain biking, nature trips, trail running, bird watching, forest, river, views, wild flowers, wildlife, muddy, rocky, historic site,",4.4
3571,Old County Road and Chico Ravine Trail,MODERATE,11,"Cleveland National Forest
",4.2 miles,531 feet,Loop,"dog friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.1
3572,Mount Tam via Collier Trail,HARD,10,"Mount Tamalpais Watershed
",12.4 miles,"2,788 feet",Loop,"hiking, nature trips, bird watching, forest, views, wild flowers, wildlife,",4.2
3573,Elyria Canyon Trail,MODERATE,19,"Elyria Canyon Park
",1.3 miles,246 feet,Loop,"dogs on leash, kid friendly, hiking, views,",3.3
3574,"Garland E Garza, East Ridge and Terrace Loop",MODERATE,9,"Garland Ranch Regional Park
",3.7 miles,"1,394 feet",Loop,"dog friendly, hiking, nature trips, walking, bird watching, views,",4.8
3575,Magnesia Springs Canyon,MODERATE,16,"Santa Rosa and San Jacinto Mountains National Monument
",3.7 miles,449 feet,Out & Back,"hiking, trail running, views, wildlife, bugs, rocky, no dogs,",3.1
3576,Porcupine Wash to Monument Mountain Trail,HARD,7,"Joshua Tree National Park
",18.3 miles,"2,670 feet",Out & Back,"backpacking, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife, rocky, scramble, no dogs,",3.9
3577,Mono Lake Boardwalk,EASY,7,"Mono Lake Tufa State Natural Reserve
",0.7 miles,6 feet,Out & Back,"dogs on leash, kid friendly, hiking, walking, bird watching, lake, views,",4.3
3578,Silver Canyon OHV Road,MODERATE,8,"Inyo National Forest
",10.2 miles,98 feet,Point to Point,"off road driving, views, wild flowers, wildlife, rocky, snow,",5
3579,Highland Peak Via PCT,HARD,8,"Humboldt-Toiyabe National Forest
",11.8 miles,"4,150 feet",Out & Back,"dogs on leash, backpacking, hiking, trail running, forest, views, wild flowers, wildlife, bugs, over grown, rocky, snow, off trail, no shade,",4.9
3580,Eagle Rock and Little Basin Trails Loop,MODERATE,13,"Big Basin Redwoods State Park
",4.1 miles,"1,131 feet",Loop,"hiking, nature trips, walking, forest, views, no dogs,",4.1
3581,Old Mori Road to Timigtac Trail Loop,MODERATE,15,"Golden Gate National Recreation Area
",2.2 miles,442 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, beach, views,",4.5
3582,Mill Ox Trail,EASY,6,"Butano State Park
",0.9 miles,295 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, no dogs,",4.3
3583,Berminator Trail,MODERATE,4,"Zuma and Trancas Canyons
",8.1 miles,"1,423 feet",Out & Back,"hiking, mountain biking, nature trips, walking, bird watching, views, wild flowers,",4.8
3584,Crag Lake and Rubicon Lake Trail to PCT,MODERATE,8,"Lake Tahoe Basin Management Unit
",22.4 miles,"3,467 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife,",4.4
3585,Guadalupe-Nipomo Dunes Preserve to Mussel Rock,MODERATE,16,"Rancho Guadalupe Dunes Park
",5.2 miles,374 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, beach, partially paved, views, no dogs,",3.7
3586,"Earl Moser, Madrone, Rhus, Iris, Coffeeberry, Pine, Sage Loop",MODERATE,18,"Jacks Peak County Park
",5.4 miles,"1,043 feet",Loop,"hiking, nature trips, trail running, walking, bird watching, forest, views, wildlife,",4.3
3587,Nordhoff Ridge to Chief and Nordhoff Peaks,HARD,10,"Los Padres National Forest
",17.9 miles,"4,878 feet",Loop,"dog friendly, hiking, mountain biking, nature trips, trail running, bird watching, views,",4.5
3588,3-Bridges Vista Point via Causeway and East Ridge Trail,MODERATE,16,"Tolay Lake Regional Park
",3.8 miles,351 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, lake, views, wild flowers, wildlife, washed out, no shade,",3.7
3589,Lookout Mountain via Bear Canyon Trail,HARD,3,"Angeles National Forest
",8.3 miles,"2,936 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, bird watching, views, bugs, over grown, rocky, scramble, washed out,",3.7
3590,Lost Coast Trail: Needle Rock to Wheeler Camp,MODERATE,4,"Sinkyone Wilderness State Park
",9.8 miles,"1,706 feet",Point to Point,"backpacking, camping, hiking, nature trips, walking, bird watching, views, no dogs,",4.3
3591,Sky Trail and Coast Trail Loop,HARD,10,"Point Reyes National Seashore
",13.7 miles,"2,142 feet",Loop,"hiking, trail running, beach, forest, views, wild flowers, wildlife, no dogs,",4.8
3592,San Elijo Lagoon - Nature Center Loop,EASY,18,"San Elijo Lagoon Ecological Reserve
",0.5 miles,3 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, river, views, wildlife,",3.8
3593,Rockhouse OHV Trail,HARD,11,"Santa Rosa Mountains State Wilderness
",24.7 miles,"1,778 feet",Out & Back,"off road driving, views, wild flowers, wildlife, no dogs,",4
3594,Eagle and Mosquito Lakes,HARD,4,"Sequoia National Park
",10.8 miles,"3,097 feet",Out & Back,"hiking, nature trips, bird watching, lake, views, wild flowers,",5
3595,Onion Valley to Mt. Whitney via Kearsarge Pass and John Muir Trails,HARD,5,"Sequoia-Kings Canyon Wilderness
",43.6 miles,"11,952 feet",Point to Point,"backpacking, forest, lake, views, wildlife, no dogs,",5
3596,Coldbrook Campground to West Fork Via Bear Canyon Trail,HARD,6,"San Gabriel Wilderness
",9.2 miles,"2,811 feet",Point to Point,"backpacking, hiking, nature trips, forest, views,",4.3
3597,Black Hills and Whipsnake Loop Trail,HARD,18,"Los Vaqueros Reservoir and Watershed
",13.2 miles,"3,585 feet",Loop,"hiking, nature trips, bird watching, views, no dogs,",3.2
3598,Edna Spaulding Nature Trail,MODERATE,12,"O'Neil Regional Park
",0.9 miles,223 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, forest, views, wild flowers, wildlife, rocky, no dogs,",3.8
3599,Oceano Campground to San Simeon State Beach,EASY,4,"Hearst San Simeon State Park
",1.5 miles,65 feet,Out & Back,"kid friendly, hiking, nature trips, road biking, trail running, walking, bird watching, beach, views, wild flowers, no dogs,",4.8
3600,Dutch Flat Trail to San Felipe Trail Loop,MODERATE,8,"Joseph D Grant County Park
",8.3 miles,"1,558 feet",Loop,"dogs on leash, hiking, nature trips, trail running, walking, forest, views,",4.4
3601,Gardisky Lake Trail,MODERATE,13,"Hoover Wilderness
",1.7 miles,754 feet,Out & Back,"dog friendly, hiking, trail running, lake,",4.5
3602,Tahquitz Peak Loop,HARD,7,"San Jacinto Wilderness
",10.7 miles,"3,192 feet",Loop,"hiking, nature trips, trail running, bird watching, forest, views, wildlife, muddy, snow, no dogs,",4.6
3603,Stocker Corridor Trail,EASY,16,"Kenneth Hahn State Recreation Area
",2.8 miles,308 feet,Out & Back,"dogs on leash, kid friendly, hiking, trail running, views, wild flowers,",4.1
3604,Gavilan Trail,EASY,21,"Gilroy, California
",4.7 miles,"2,247 feet",Out & Back,"dogs on leash, cross country skiing, hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, rocky,",4.4
3605,Santa Cruz Wharf Walk,EASY,12,"Santa Cruz, California
",1.1 miles,6 feet,Out & Back,"kid friendly, walking, beach, views, no dogs,",4.4
3606,Twin Peak and Cone Peak from Limekiln Campground,HARD,5,"Limekiln State Park
",17.8 miles,"6,328 feet",Loop,"backpacking, camping, hiking, bird watching, forest, views, wild flowers, wildlife,",4.8
3607,Old Creek Trail and Wood Duck Trail,EASY,14,"Quarry Lakes Regional Park
",3.6 miles,82 feet,Loop,"hiking, nature trips, trail running, walking, bird watching, views,",4.2
3608,Sinkyone Wilderness Segment- Lost Coast Trail,MODERATE,6,"Sinkyone Wilderness State Park
",28.5 miles,"6,614 feet",Point to Point,"backpacking, camping, hiking, nature trips, walking, bird watching, beach, views, wild flowers, wildlife,",4.2
3609,Pauma Creek Trail,HARD,10,"Palomar Mountain State Park
",0.7 miles,820 feet,Out & Back,"fishing, hiking, nature trips, forest, river, views, waterfall, wild flowers, wildlife, bugs, over grown, rocky, scramble, off trail, no shade, no dogs,",3.4
3610,Kearsarge Pass Trail to John Muir Trail Loop,HARD,8,"Sequoia National Park
",42.4 miles,"12,148 feet",Loop,"backpacking, hiking, nature trips, forest, views,",4.6
3611,Lake Mendocino,MODERATE,16,"Ukiah, California
",12.6 miles,"2,139 feet",Out & Back,"dogs on leash, camping, fishing, hiking, paddle sports, scenic driving, walking, forest, lake, river, views, wild flowers, muddy,",4
3612,San Mateo Peak via Morgan Trail,HARD,11,"San Mateo Canyon Wilderness
",14.1 miles,"2,040 feet",Out & Back,"backpacking, hiking, nature trips, forest, river, views, wildlife,",4.4
3613,"Heather Lake, Pear Lake, Upper Big Bird Lake, Moose Lake, Mehrtet Meadow Loop",HARD,4,"Sequoia-Kings Canyon Wilderness
",23.3 miles,"6,459 feet",Loop,"backpacking, camping, hiking, nature trips, bird watching, forest, lake, views, wild flowers, wildlife,",4.5
3614,Moraga Steps to Grand View Park,EASY,16,"San Francisco, California
",0.4 miles,190 feet,Out & Back,"dogs on leash, kid friendly, walking, views, city walk,",4.3
3615,Shoreline and Los Angeles River Bike Path,EASY,6,"Shoreline Aquatic Park
",21.7 miles,377 feet,Point to Point,"dogs on leash, kid friendly, road biking, trail running, bird watching, beach, river, views, wild flowers,",4.7
3616,Joshua Tree Short Loop Trail and Canyon View Trail Hike,MODERATE,6,"Joshua Tree National Park
",6.2 miles,954 feet,Loop,"hiking, horseback riding, nature trips, trail running, walking, bird watching, views, wild flowers, no dogs,",4.3
3617,Green Valley Falls and Arroyo Secco Loop,EASY,9,"Cuyamaca Rancho State Park
",3.8 miles,597 feet,Loop,"hiking, nature trips, walking, bird watching, views, waterfall,",4.4
3618,Old Coulterville OHV Road,MODERATE,7,"Stanislaus National Forest
",16.2 miles,"4,219 feet",Point to Point,"off road driving, forest, views, wildlife,",4
3619,Laurel Canyon to Fenceline Trail to Willow Trail Loop,MODERATE,13,"Laguna Coast Wilderness Park
",5.6 miles,833 feet,Loop,"hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.5
3620,Hollow Tree Trail to Basin Trail Loop,MODERATE,9,"Big Basin Redwoods State Park
",8.4 miles,"1,473 feet",Loop,"hiking, nature trips, trail running, walking, forest, views,",4.7
3621,Whiting to Luge Loop Trail,MODERATE,8,"Whiting Ranch Wilderness Park
",12.4 miles,"2,224 feet",Loop,"hiking, horseback riding, mountain biking, nature trips, walking, bird watching, views, wild flowers, no dogs,",4.6
3622,Red Tail Ridge Trail to Rattlesnake Trail,MODERATE,3,"Crystal Cove State Park
",4.8 miles,803 feet,Out & Back,"hiking, nature trips, walking, bird watching, views, no dogs,",3.7
3623,Ten Lakes Trailhead to Tenaya Lake,MODERATE,4,"Yosemite Valley, California
",18.7 miles,"4,685 feet",Point to Point,"backpacking, camping, hiking, nature trips, paddle sports, walking, bird watching, forest, lake, views, no dogs,",4.3
3624,Quarry Trail to Lower Big Springs Trail Loop,MODERATE,11,"Tilden Regional Park
",2.6 miles,521 feet,Loop,"dog friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.1
3625,Cone Peak Loop via Highway 1,HARD,8,"Ventana Wilderness
",22.9 miles,"7,772 feet",Loop,"backpacking, camping, hiking, nature trips, forest, views,",4.4
3626,Paradise Point Via Atherton Road,EASY,16,"Faklis Park
",5.0 miles,0 feet,Out & Back,"dogs on leash, kid friendly, fishing, mountain biking, road biking, trail running, walking, bird watching, river, views, no shade,",3.8
3627,Towsley Alternate Loop,MODERATE,6,"Santa Clarita Woodlands Park
",3.3 miles,938 feet,Loop,"dogs on leash, nature trips, trail running, walking, bird watching, views, wild flowers, over grown, washed out, off trail,",4.4
3628,"Rambler, Ohlone, Chaparral, Berry, Lake, John Brooks and Lower Finch Loop",EASY,14,"Hidden Canyon Park
",6.7 miles,"1,174 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, lake, wild flowers, wildlife,",4.6
3629,American River Bike Trail Loop,EASY,13,"Folsom Lake State Recreation Area
",3.1 miles,65 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, forest, views,",3.7
3630,Little Flat to Bummer Peak,MODERATE,6,"Lake Sonoma Recreation Area
",4.7 miles,964 feet,Out & Back,"dogs on leash, hiking, trail running, views,",4.5
3631,John Muir Trail: Yosemite Valley to Tenaya Lake,HARD,3,"Yosemite National Park
",13.7 miles,"5,849 feet",Point to Point,"backpacking, hiking, nature trips, trail running, walking, partially paved, river, views, wildlife, snow, no dogs,",5
3632,The Grandstand via Racetrack Trail,EASY,12,"Death Valley National Park
",1.8 miles,59 feet,Out & Back,"kid friendly, hiking, nature trips, off road driving, walking, views, wildlife, rocky, washed out, no dogs,",4.1
3634,"Creekside, Pond, and Big Leaf Trail",EASY,9,"Shiloh Ranch Regional Park
",4.0 miles,649 feet,Loop,"hiking, nature trips, walking, bird watching, views, no dogs,",3.9
3635,Bennettville,EASY,11,"Inyo National Forest
",2.8 miles,298 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, trail running, lake, views, bugs, snow,",4.3
3636,Cathedral Lakes Trailhead to Yosemite Valley via Half Dome,HARD,6,"Yosemite National Park
",32.9 miles,"6,099 feet",Point to Point,"backpacking, camping, hiking, nature trips, trail running, bird watching, forest, lake, views, waterfall, wild flowers, wildlife, no dogs,",4.5
3637,Norris Trailhead to Vanderburgh Lake,MODERATE,6,"Ansel Adams Wilderness
",8.1 miles,"1,469 feet",Out & Back,"dog friendly, backpacking, camping, fishing, hiking, nature trips, forest, lake, river, views, wild flowers, wildlife,",4.4
3638,Manzanita and Gordon Mills Loop,EASY,12,"El Corte De Madera Creek Open Space Preserve
",7.9 miles,"1,417 feet",Loop,"hiking, mountain biking, nature trips, walking, bird watching, forest, views, no dogs,",3.9
3639,Hidden Falls and Seven Pools Loop,MODERATE,9,"Hidden Falls Regional Park
",4.2 miles,613 feet,Loop,"hiking, nature trips, walking, bird watching, river, views, waterfall, rocky,",4.6
3640,Bravo Lake Trail,EASY,17,"Woodlake, California
",3.3 miles,19 feet,Loop,"dog friendly, wheelchair friendly, kid friendly, stroller friendly, fishing, road biking, trail running, walking, lake, paved, views, bugs, no shade, city walk,",3.4
3641,Jack's Peak and Skyline Trail,EASY,12,"Jacks Peak County Park
",0.8 miles,121 feet,Loop,"hiking, nature trips, walking, bird watching, views, waterfall,",4.4
3642,Pacific Electric Trail: Rialto to Rancho Cucamonga,EASY,17,"Rialto, California
",22.4 miles,219 feet,Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, road biking, trail running, walking, partially paved, rails trails, no shade, city walk,",4.3
3643,"Snow Creek Falls, Tenaya Lake, Yosemite Valley via JMT",HARD,3,"Yosemite National Park
",25.1 miles,"6,555 feet",Loop,"backpacking, camping, fishing, hiking, nature trips, trail running, bird watching, forest, lake, views, waterfall, wild flowers, wildlife, no dogs,",3.7
3644,Peak and Dry Creek Trail Loop,EASY,9,"Dry Creek Pioneer Regional Park
",2.2 miles,269 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, walking, bird watching, lake, wildlife,",4.2
3645,Cheatham Grove Trail,EASY,12,"Grizzly Creek Redwoods State Park
",0.6 miles,32 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.6
3646,Tip Top Mountain OHV Trail,MODERATE,6,"San Bernardino National Forest
",3.3 miles,744 feet,Out & Back,"off road driving, forest, views, wild flowers, wildlife, rocky,",4.5
3647,Hunting Hollow Road,MODERATE,12,"Henry W. Coe State Park
",6.7 miles,416 feet,Out & Back,"hiking, horseback riding, nature trips, walking, bird watching, lake, river, views, wild flowers, wildlife,",4
3648,Bloody Canyon to Walker Lake,EASY,8,"Mono Basin National Forest Scenic Area
",4.8 miles,636 feet,Out & Back,"dogs on leash, fishing, hiking, snowshoeing, forest, lake, views, wild flowers, wildlife, bugs, snow, washed out,",4
3649,Mezue Trail Short Loop,MODERATE,14,"Wildcat Canyon Regional Park
",3.0 miles,856 feet,Loop,"dog friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",4.1
3650,Pine Flat Reservoir,EASY,3,"Sierra National Forest
",1.7 miles,0 feet,Out & Back,"dogs on leash, kid friendly, fishing, hiking, nature trips, paddle sports, trail running, walking, views,",4.7
3651,Picayune Valley Trail,MODERATE,12,"Granite Chief Wilderness
",14.2 miles,"2,316 feet",Out & Back,"dog friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",4.3
3652,Tennessee Valley to Alta Ridge Loop,MODERATE,8,"Golden Gate National Recreation Area
",5.3 miles,"1,076 feet",Loop,"hiking, trail running, walking, views, wild flowers, wildlife, no dogs,",4.4
3653,Buena Vista Crest Trail to Royal Arch Lake,MODERATE,3,"Yosemite National Park
",30.0 miles,"4,074 feet",Loop,"backpacking, camping, hiking, horseback riding, nature trips, walking, bird watching, lake, views, wild flowers, wildlife, no dogs,",4.4
3654,Lake Skinner Loop Trail,EASY,20,"Lake Skinner Recreation Area
",3.6 miles,111 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, lake, views,",3.1
3655,Terri Peak and Lake Perris Trail,MODERATE,9,"Lake Perris State Recreation Area
",3.2 miles,807 feet,Out & Back,"dogs on leash, hiking, nature trips, walking, bird watching, views, wild flowers, wildlife, no shade,",4.5
3656,Lembert Dome from Tuolomne Meadows Lodge Road,MODERATE,7,"Yosemite National Park
",1.8 miles,715 feet,Out & Back,"hiking, nature trips, walking, bird watching, views,",4.7
3657,PCT: CA Section Q - Etna Summit to Seiad Valley,HARD,2,"Klamath National Forest
",54.8 miles,"7,562 feet",Point to Point,"dog friendly, backpacking, camping, hiking, horseback riding, trail running, bird watching, forest, lake, river, views, wild flowers, wildlife,",3
3658,"Willson Ranch, Wilson Peak, and Grizzly Gulch Loop",HARD,12,"Henry W. Coe State Park
",11.8 miles,"2,352 feet",Loop,"hiking, mountain biking, trail running, wild flowers, no dogs,",3.9
3659,Lost Man Creek Trail,MODERATE,8,"Redwood National Park
",20.5 miles,"3,923 feet",Out & Back,"hiking, nature trips, walking, bird watching, forest, views, wild flowers, wildlife, no dogs,",3.9
3660,Black Hill via Black Hill Road,MODERATE,7,"Morro Bay, California
",0.5 miles,180 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.3
3661,Big Morongo Canyon Trail - Shorter Option,MODERATE,14,"Big Morongo Regional Preserve
",9.6 miles,"1,046 feet",Out & Back,"hiking, trail running, views, wildlife, rocky, no dogs,",4.2
3662,Rattlesnake Creek to Papoose Lake,HARD,3,"Shasta-Trinity National Forest
",23.2 miles,"5,793 feet",Out & Back,"dog friendly, backpacking, camping, hiking, trail running, forest, lake, river, views, over grown, rocky, scramble, snow,",4.3
3663,Mokelumne Coast to Crest Trail South Shore Segment,MODERATE,16,"Valley Springs, California
",21.6 miles,"2,559 feet",Out & Back,"hiking, horseback riding, nature trips, walking, bird watching, views, wild flowers,",4.2
3664,Pioneer Basin Lakes Trail,HARD,4,"Sierra National Forest
",15.7 miles,"4,714 feet",Out & Back,"dogs on leash, hiking, nature trips, bird watching, forest, lake, views, wild flowers, wildlife,",4.5
3665,Las Flores Canyon Trail,MODERATE,11,"Angeles National Forest
",1.7 miles,587 feet,Out & Back,"dog friendly, hiking, trail running, walking, bird watching, views, wildlife,",4.3
3666,Stevens Creek Nature Trail to White Oak Trail Loop,MODERATE,11,"Monte Bello Open Space Preserve
",3.6 miles,636 feet,Loop,"hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, wild flowers, wildlife, no dogs,",4.3
